iter	Passed	Remaining
437	1340	1720
438	1343	1717
439	1346	1714
440	1349	1710
441	1352	1707
442	1355	1703
443	1358	1700
444	1359	1695
445	1362	1692
446	1365	1688
447	1367	1685
448	1371	1682
449	1374	1679
450	1377	1676
451	1380	1673
452	1381	1668
453	1384	1665
454	1387	1662
455	1390	1659
456	1393	1656
457	1396	1652
458	1399	1649
459	1401	1645
460	1404	1641
461	1412	1644
462	1418	1645
463	1422	1642
464	1424	1639
465	1426	1634
466	1428	1630
467	1433	1629
468	1437	1627
469	1440	1624
470	1444	1621
471	1446	1617
472	1449	1614
473	1452	1612
474	1455	1609
475	1458	1605
476	1461	1602
477	1464	1599
478	1467	1595
479	1469	1591
480	1470	1586
481	1471	1581
482	1473	1577
483	1476	1573
484	1479	1570
485	1480	1566
486	1483	1562
487	1486	1559
488	1488	1555
489	1492	1553
490	1495	1549
491	1497	1546
492	1501	1543
493	1503	1540
494	1507	1537
495	1509	1534
496	1512	1530
497	1515	1527
498	1518	1524
499	1521	1521
500	1524	1518
501	1526	1514
502	1528	1510
503	1531	1507
504	1540	1509
505	1542	1506
506	1545	1502
507	1547	1498
508	1549	1494
509	1551	1490
510	1553	1486
511	1555	1482
512	1558	1479
513	1560	1475
514	1563	1472
515	1566	1469
516	1568	1465
517	1570	1461
518	1572	1457
519	1574	1453
520	1576	1449
521	1579	1446
522	1581	1442
523	1584	1439
524	1587	1435
525	1589	1432
526	1591	1428
527	1593	1424
528	1596	1421
529	1597	1416
530	1600	1413
531	1602	1409
532	1604	1405
533	1606	1402
534	1609	1399
535	1612	1395
536	1614	1392
537	1617	1388
538	1619	1384
539	1621	1380
540	1623	1377
541	1625	1373
542	1626	1368
543	1628	1365
544	1630	1361
545	1633	1358
546	1636	1354
547	1638	1351
548	1641	1348
549	1643	1344
550	1646	1341
551	1649	1338
552	1651	1335
553	1653	1331
554	1656	1328
555	1659	1324
556	1662	1321
557	1664	1318
558	1667	1315
559	1671	1312
560	1673	1309
561	1676	1306
562	1678	1303
563	1681	1299
564	1683	1296
565	1686	1292
566	1687	1288
567	1689	1284
568	1691	1281
569	1694	1278
570	1697	1275
571	1699	1271
572	1702	1268
573	1704	1265
574	1707	1261
575	1709	1258
576	1711	1255
577	1715	1252
578	1718	1249
579	1721	1246
580	1724	1243
581	1727	1240
582	1730	1237
583	1733	1234
584	1736	1231
585	1738	1228
586	1741	1225
587	1744	1222
588	1746	1218
589	1748	1215
590	1750	1211
591	1752	1207
592	1754	1203
593	1755	1200
594	1758	1197
595	1761	1193
596	1763	1190
597	1765	1187
598	1768	1183
599	1770	1180
600	1774	1177
601	1776	1174
602	1779	1171
603	1781	1168
604	1783	1164
605	1785	1161
606	1787	1157
607	1789	1153
608	1791	1149
609	1793	1146
610	1796	1143
611	1799	1140
612	1802	1137
613	1804	1134
614	1807	1131
615	1810	1128
616	1812	1125
617	1815	1121
618	1816	1118
619	1819	1115
620	1822	1112
621	1824	1109
622	1827	1106
623	1830	1103
624	1833	1100
625	1836	1097
626	1839	1094
627	1842	1091
628	1845	1088
629	1847	1085
630	1851	1082
631	1854	1079
632	1857	1076
633	1860	1073
634	1864	1071
635	1867	1068
636	1869	1065
637	1873	1062
638	1876	1060
639	1878	1056
640	1881	1053
641	1883	1050
642	1885	1046
643	1887	1043
644	1889	1040
645	1894	1037
646	1896	1034
647	1898	1031
648	1900	1028
649	1903	1024
650	1905	1021
651	1909	1019
652	1911	1015
653	1912	1012
654	1914	1008
655	1915	1004
656	1919	1002
657	1923	999
658	1927	997
659	1929	994
660	1931	990
661	1934	987
662	1936	984
663	1938	981
664	1941	978
665	1944	974
666	1946	971
667	1948	968
668	1950	964
669	1952	961
670	1955	958
671	1956	955
672	1959	952
673	1961	948
674	1963	945
675	1965	941
676	1966	938
677	1969	935
678	1970	931
679	1973	928
680	1976	925
681	1980	923
682	1983	920
683	1986	917
684	1989	914
685	1991	911
686	1994	908
687	1997	905
688	2001	903
689	2003	900
690	2006	897
691	2008	893
692	2010	890
693	2012	887
694	2015	884
695	2017	881
696	2020	878
697	2023	875
698	2025	872
699	2028	869
700	2032	866
701	2035	863
702	2038	861
703	2041	858
704	2044	855
705	2048	853
706	2051	850
707	2054	847
708	2057	844
709	2059	841
710	2062	838
711	2064	835
712	2067	832
713	2071	829
714	2073	826
715	2076	823
716	2079	820
717	2081	817
718	2084	814
719	2087	811
720	2089	808
721	2092	805
722	2095	802
723	2098	800
724	2102	797
725	2104	794
726	2107	791
727	2110	788
728	2113	785
729	2116	782
730	2119	779
731	2122	776
732	2124	773
733	2126	770
734	2129	767
735	2132	764
736	2135	761
737	2138	759
738	2141	756
739	2144	753
740	2146	750
741	2149	747
742	2151	744
743	2154	741
744	2157	738
745	2159	735
746	2162	732
747	2165	729
748	2168	726
749	2171	723
750	2176	721
751	2179	718
752	2181	715
753	2184	712
754	2188	710
755	2191	707
756	2194	704
757	2198	701
758	2201	698
759	2204	696
760	2207	693
761	2210	690
762	2213	687
763	2216	684
764	2219	681
765	2222	678
766	2225	676
767	2228	673
768	2232	670
769	2235	667
770	2238	664
771	2242	662
772	2245	659
773	2248	656
774	2251	653
775	2254	650
776	2258	648
777	2260	644
778	2263	642
779	2266	639
780	2270	636
781	2273	633
782	2278	631
783	2281	628
784	2287	626
785	2290	623
786	2293	620
787	2297	618
788	2300	615
789	2304	612
790	2307	609
791	2310	606
792	2314	604
793	2318	601
794	2320	598
795	2324	595
796	2328	593
797	2332	590
798	2337	588
799	2340	585
800	2344	582
801	2347	579
802	2351	576
803	2355	574
804	2360	571
805	2363	568
806	2367	566
807	2371	563
808	2374	560
809	2377	557
810	2382	555
811	2385	552
812	2388	549
813	2392	546
814	2397	544
815	2401	541
816	2404	538
817	2407	535
818	2411	532
819	2415	530
820	2420	527
821	2425	525
822	2429	522
823	2431	519
824	2434	516
825	2437	513
826	2440	510
827	2444	507
828	2447	504
829	2450	501
830	2454	499
831	2457	496
832	2460	493
833	2463	490
834	2466	487
835	2471	484
836	2474	481
837	2478	479
838	2481	476
839	2485	473
840	2488	470
841	2491	467
842	2495	464
843	2499	461
844	2502	459
845	2506	456
846	2509	453
847	2511	450
848	2513	447
849	2517	444
850	2520	441
851	2523	438
852	2526	435
853	2529	432
854	2532	429
855	2536	426
856	2539	423
857	2544	421
858	2548	418
859	2551	415
860	2554	412
861	2557	409
862	2561	406
863	2565	403
864	2568	400
865	2571	397
866	2574	394
867	2578	392
868	2581	389
869	2584	386
870	2587	383
871	2588	379
872	2590	376
873	2593	373
874	2596	370
875	2599	367
876	2602	364
877	2605	361
878	2606	358
879	2608	355
880	2611	352
881	2612	349
882	2615	346
883	2618	343
884	2620	340
885	2623	337
886	2626	334
887	2628	331
888	2631	328
889	2634	325
890	2637	322
891	2640	319
892	2643	316
893	2645	313
894	2647	310
895	2650	307
896	2653	304
897	2656	301
898	2659	298
899	2661	295
900	2663	292
901	2667	289
902	2671	286
903	2674	283
904	2676	281
905	2680	278
906	2683	275
907	2687	272
908	2690	269
909	2692	266
910	2696	263
911	2700	260
912	2703	257
913	2707	254
914	2711	251
915	2714	248
916	2718	246
917	2721	243
918	2724	240
919	2728	237
920	2731	234
921	2735	231
922	2737	228
923	2741	225
924	2745	222
925	2749	219
926	2756	217
927	2761	214
928	2765	211
929	2769	208
930	2772	205
931	2793	203
932	2803	201
933	2808	198
934	2812	195
935	2816	192
936	2820	189
937	2824	186
938	2828	183
939	2832	180
940	2836	177
941	2840	174
942	2843	171
943	2847	168
944	2850	165
945	2853	162
946	2856	159
947	2860	156
948	2863	153
949	2867	150
950	2870	147
951	2872	144
952	2876	141
953	2880	138
954	2884	135
955	2888	132
956	2892	129
957	2896	126
958	2900	123
959	2904	121
960	2907	118
961	2910	114
962	2913	111
963	2916	108
964	2920	105
965	2923	102
966	2926	99
967	2929	96
968	2931	93
969	2935	90
970	2938	87
971	2941	84
972	2944	81
973	2946	78
974	2949	75
975	2952	72
976	2955	69
977	2958	66
978	2961	63
979	2964	60
980	2967	57
981	2970	54
982	2973	51
983	2975	48
984	2979	45
985	2982	42
986	2986	39
987	2989	36
988	2993	33
989	2996	30
990	2999	27
991	3001	24
992	3004	21
993	3008	18
994	3011	15
995	3015	12
996	3017	9
997	3020	6
998	3023	3
999	3026	0
